,,,,,,,,
,,,,,,,,
,Case ID,"Background
Match",Model A,Model B,,,,
,180,NO,0.901,0.417,,,,
,181,NO,0.903,0.391,,,,
,182,NO,0.905,0.476,,,,
,183,NO,0.905,0.416,,,,
,184,YES,0.985,0.873,,,,
,185,NO,0.904,0.464,,,,
,186,NO,0.904,0.452,,,,
,187,NO,0.903,0.408,,,,
,188,NO,0.904,0.418,,,,
,189,NO,0.912,0.456,,,,
,190,NO,0.903,0.432,,,,
,191,YES,0.981,0.885,,,,
,192,YES,0.902,0.917,,,,
,193,NO,0.908,0.448,,,,
,194,NO,0.902,0.381,,,,
,195,NO,0.906,0.389,,,,
,196,NO,0.904,0.425,,,,
,197,NO,0.903,0.338,,,,
,198,NO,0.902,0.503,,,,
,199,NO,0.901,0.422,,,,
,200,NO,0.913,0.476,,,,
,202,YES,1.000,0.985,,,,
,203,YES,0.999,0.979,,,,
,204,YES,0.999,0.990,,,,
,205,YES,0.999,0.989,,,,
,206,YES,0.999,0.983,,,,
,207,YES,0.999,0.987,,,,
,209,YES,0.999,0.992,,,,
,210,NO,0.999,0.987,,,,
,211,NO,0.908,0.403,,,,
,212,NO,0.910,0.448,,,,
,213,NO,0.912,0.291,,,,
,214,YES,0.995,0.907,,,,
,215,NO,0.917,0.435,,,,
,216,NO,0.911,0.269,,,,
,217,NO,0.910,0.341,,,,
,218,NO,0.910,0.371,,,,
,219,NO,0.908,0.550,,,,
,220,NO,0.978,0.916,,,,
,221,YES,0.988,0.901,,,,
,222,NO,0.908,0.425,,,,
,223,NO,0.911,0.260,,,,
,224,YES,0.983,0.914,,,,
,225,NO,0.916,0.357,,,,
,226,NO,0.926,0.424,,,,
,227,YES,0.925,0.895,,,,
,228,NO,0.906,0.473,,,,
,229,NO,0.905,0.404,,,,
,230,NO,0.907,0.467,,,,
,231,NO,0.906,0.377,,,,
,232,NO,0.912,0.344,,,,
,233,NO,0.906,0.345,,,,
,234,NO,0.907,0.462,,,,
,235,NO,0.914,0.531,,,,
,236,NO,0.906,0.524,,,,
,237,NO,0.910,0.463,,,,
,238,NO,0.914,0.353,,,,
,239,NO,0.905,0.442,,,,
,240,NO,0.916,0.402,,,,
,242,YES,1.000,0.988,,,,
,243,YES,1.000,0.977,,,,
,244,YES,0.999,0.990,,,,
,245,YES,0.999,0.991,,,,
,246,YES,0.999,0.991,,,,
,247,YES,0.999,0.991,,,,
,248,YES,0.997,0.969,,,,
,249,YES,0.997,0.976,,,,
,250,YES,0.997,0.960,,,,
,251,NO,0.912,0.408,,,,
,252,NO,0.911,0.467,,,,
,253,NO,0.912,0.456,,,,
,254,NO,0.908,0.499,,,,
,255,NO,0.973,0.905,,,,
,256,NO,0.907,0.485,,,,
,257,NO,0.906,0.363,,,,
,258,NO,0.913,0.443,,,,
,259,YES,0.990,0.947,,,,
,260,YES,0.995,0.960,,,,
,261,NO,0.922,0.522,,,,
,262,NO,0.906,0.358,,,,
,263,YES,0.923,0.871,,,,
,264,NO,0.908,0.515,,,,
,265,NO,0.913,0.507,,,,
,266,NO,0.932,0.466,,,,
,267,NO,0.907,0.320,,,,
,268,NO,0.918,0.449,,,,
,269,NO,0.909,0.525,,,,
,270,NO,0.913,0.534,,,,
,271,NO,0.906,0.389,,,,
,272,NO,0.913,0.644,,,,
,273,NO,0.913,0.524,,,,
,274,NO,0.916,0.613,,,,
,275,NO,0.906,0.412,,,,
,276,NO,0.913,0.402,,,,
,277,NO,0.906,0.237,,,,
,278,YES,0.916,0.875,,,,
,279,NO,0.911,0.498,,,,
,280,YES,0.991,0.864,,,,
,282,YES,1.000,0.990,,,,
,283,YES,1.000,0.992,,,,
,284,NO,1.000,0.994,,,,
,285,YES,1.000,0.986,,,,
,287,YES,1.000,0.992,,,,
,288,YES,1.000,0.990,,,,
,289,YES,1.000,0.976,,,,
,290,YES,1.000,0.994,,,,
,291,YES,0.997,0.965,,,,
,292,NO,0.907,0.468,,,,
,293,NO,0.916,0.487,,,,
,294,YES,0.995,0.956,,,,
,295,NO,0.907,0.327,,,,
,296,YES,0.996,0.918,,,,
,297,YES,0.902,0.930,,,,
,298,NO,0.917,0.483,,,,
,299,YES,0.995,0.921,,,,
,300,NO,0.904,0.506,,,,
,301,NO,0.904,0.376,,,,
,302,NO,0.904,0.406,,,,
,303,NO,0.907,0.279,,,,
,304,NO,0.910,0.404,,,,
,305,NO,0.913,0.540,,,,
,306,NO,0.905,0.401,,,,
,307,NO,1.000,0.994,,,,
,308,NO,0.911,0.392,,,,
,309,NO,0.903,0.526,,,,
,310,NO,0.914,0.350,,,,
,311,NO,0.910,0.554,,,,
,312,NO,0.904,0.387,,,,
,313,NO,0.907,0.270,,,,
,314,NO,0.904,0.437,,,,
,315,NO,0.903,0.336,,,,
,316,NO,0.903,0.399,,,,
,317,NO,0.902,0.365,,,,
,318,NO,0.912,0.379,,,,
,319,NO,0.914,0.331,,,,
,320,YES,0.992,0.779,,,,
,322,YES,1.000,0.983,,,,
,323,YES,1.000,0.992,,,,
,324,NO,1.000,0.975,,,,
,325,YES,1.000,0.971,,,,
,326,YES,0.999,0.982,,,,
,327,YES,0.999,0.980,,,,
,328,YES,0.999,0.984,,,,
,329,YES,0.999,0.988,,,,
,330,NO,0.999,0.987,,,,
,331,NO,0.916,0.469,,,,
,332,NO,0.906,0.511,,,,
,333,YES,0.994,0.940,,,,
,334,YES,0.998,0.946,,,,
,335,YES,0.977,0.924,,,,
,336,NO,0.909,0.545,,,,
,337,NO,0.908,0.306,,,,
,338,NO,0.909,0.432,,,,
,339,NO,0.907,0.393,,,,
,340,NO,0.906,0.385,,,,
,341,YES,0.906,0.908,,,,
,342,NO,0.910,0.491,,,,
,343,YES,0.927,0.900,,,,
,344,NO,0.905,0.358,,,,
,345,NO,0.907,0.385,,,,
,346,NO,0.906,0.349,,,,
,347,NO,0.907,0.482,,,,
,348,NO,0.911,0.323,,,,
,349,NO,0.909,0.503,,,,
,350,NO,0.907,0.357,,,,
,351,NO,0.907,0.431,,,,
,352,NO,0.913,0.380,,,,
,353,YES,0.998,0.989,,,,
,354,NO,0.906,0.414,,,,
,356,NO,0.907,0.524,,,,
,357,NO,0.907,0.414,,,,
,358,NO,0.912,0.383,,,,
,359,NO,0.913,0.341,,,,
,360,NO,0.904,0.532,,,,
,362,YES,0.999,0.988,,,,
,363,NO,0.999,0.990,,,,
,364,YES,0.999,0.988,,,,
,365,YES,0.999,0.957,,,,
,366,YES,0.999,0.985,,,,
,368,YES,0.999,0.987,,,,
,369,YES,0.999,0.975,,,,
,370,YES,0.999,0.987,,,,
,371,NO,0.911,0.446,,,,
,372,YES,0.997,0.985,,,,
,373,NO,0.906,0.334,,,,
,374,NO,0.919,0.518,,,,
,375,YES,0.994,0.950,,,,
,376,NO,0.914,0.502,,,,
,377,YES,0.976,0.868,,,,
,378,NO,0.913,0.468,,,,
,379,NO,0.920,0.448,,,,
,380,NO,0.909,0.489,,,,
,381,NO,0.910,0.484,,,,
,382,NO,0.909,0.371,,,,
,383,NO,0.913,0.462,,,,
,384,NO,0.907,0.493,,,,
,385,NO,0.905,0.436,,,,
,386,NO,0.908,0.513,,,,
,387,YES,0.985,0.933,,,,
,388,NO,0.929,0.405,,,,
,389,NO,0.918,0.524,,,,
,390,NO,0.908,0.495,,,,
,391,NO,0.906,0.519,,,,
,392,YES,0.994,0.970,,,,
,393,NO,0.906,0.463,,,,
,394,NO,0.910,0.429,,,,
,395,NO,0.908,0.472,,,,
,396,NO,0.909,0.446,,,,
,397,NO,0.914,0.479,,,,
,398,NO,0.905,0.515,,,,
,399,NO,0.914,0.471,,,,
,400,YES,0.993,0.893,,,,
,402,YES,1.000,0.991,,,,
,403,YES,1.000,0.988,,,,
,404,YES,1.000,0.990,,,,
,405,YES,1.000,0.978,,,,
,406,YES,1.000,0.992,,,,
,407,YES,1.000,0.981,,,,
,408,YES,1.000,0.986,,,,
,410,NO,1.000,0.991,,,,
,411,YES,0.995,0.969,,,,
,412,NO,0.908,0.353,,,,
,413,NO,0.909,0.364,,,,
,414,YES,0.902,0.902,,,,
,415,NO,0.904,0.388,,,,
,416,NO,0.910,0.440,,,,
,417,NO,0.903,0.272,,,,
,418,NO,0.920,0.416,,,,
,419,NO,0.910,0.295,,,,
,420,NO,0.902,0.440,,,,
,421,NO,0.907,0.503,,,,
,422,NO,0.905,0.421,,,,
,423,NO,0.905,0.529,,,,
,424,NO,0.906,0.513,,,,
,425,NO,0.906,0.397,,,,
,426,YES,0.976,0.868,,,,
,427,NO,0.902,0.435,,,,
,428,NO,0.904,0.322,,,,
,429,NO,0.906,0.233,,,,
,430,NO,0.907,0.385,,,,
,431,NO,0.908,0.440,,,,
,432,NO,0.908,0.381,,,,
,433,NO,0.907,0.516,,,,
,434,NO,0.906,0.456,,,,
,435,NO,0.909,0.531,,,,
,436,NO,0.903,0.434,,,,
,437,NO,0.911,0.531,,,,
,438,NO,0.906,0.451,,,,
,439,NO,0.911,0.471,,,,
,440,YES,1.000,0.970,,,,
,442,YES,1.000,0.938,,,,
,443,YES,1.000,0.970,,,,
,444,YES,1.000,0.849,,,,
,445,YES,1.000,0.924,,,,
,446,YES,1.000,0.913,,,,
,447,YES,1.000,0.965,,,,
,449,YES,1.000,0.937,,,,
,451,NO,0.930,0.427,,,,
,452,NO,0.932,0.477,,,,
,453,NO,0.929,0.629,,,,
,454,NO,0.926,0.352,,,,
,455,NO,0.927,0.624,,,,
,456,NO,0.930,0.638,,,,
,457,NO,0.936,0.597,,,,
,458,NO,0.927,0.494,,,,
,459,NO,0.931,0.575,,,,
,460,NO,0.927,0.251,,,,
,461,NO,0.938,0.406,,,,
,462,NO,0.939,0.583,,,,
,463,NO,0.947,0.476,,,,
,464,NO,0.931,0.607,,,,
,465,NO,0.935,0.672,,,,
,466,NO,0.934,0.269,,,,
,467,YES,0.998,0.859,,,,
,468,NO,0.930,0.546,,,,
,469,NO,0.930,0.311,,,,
,470,NO,0.929,0.264,,,,
,471,NO,0.947,0.545,,,,
,472,NO,0.930,0.356,,,,
,473,NO,0.927,0.619,,,,
,474,NO,0.938,0.547,,,,
,475,NO,0.929,0.453,,,,
,476,NO,0.935,0.548,,,,
,477,NO,0.933,0.445,,,,
,478,NO,0.936,0.600,,,,
,479,NO,0.932,0.289,,,,
,480,NO,0.933,0.543,,,,
,482,NO,1.000,0.996,,,,
,483,YES,1.000,0.888,,,,
,484,NO,1.000,0.858,,,,
,485,NO,1.000,0.962,,,,
,486,YES,1.000,0.941,,,,
,487,NO,1.000,0.968,,,,
,488,NO,0.999,0.969,,,,
,489,NO,0.999,0.973,,,,
,490,NO,0.999,0.968,,,,
,491,NO,0.930,0.554,,,,
,492,NO,0.931,0.447,,,,
,493,NO,0.927,0.404,,,,
,494,NO,0.930,0.497,,,,
,495,NO,0.927,0.482,,,,
,496,NO,0.937,0.489,,,,
,497,NO,0.929,0.475,,,,
,498,NO,0.935,0.553,,,,
,499,NO,0.932,0.432,,,,
,500,NO,0.928,0.477,,,,
,501,NO,0.998,0.764,,,,
,502,NO,0.937,0.600,,,,
,503,NO,0.932,0.512,,,,
,504,NO,0.928,0.373,,,,
,505,NO,0.999,0.778,,,,
,506,NO,0.933,0.501,,,,
,507,NO,0.998,0.711,,,,
,508,NO,0.927,0.559,,,,
,509,NO,0.930,0.379,,,,
,510,NO,0.931,0.401,,,,
,511,NO,0.927,0.467,,,,
,512,NO,0.928,0.314,,,,
,513,NO,0.945,0.487,,,,
,514,NO,0.933,0.491,,,,
,515,NO,0.932,0.464,,,,
,516,NO,0.929,0.340,,,,
,517,NO,0.927,0.303,,,,
,518,NO,0.928,0.494,,,,
,519,NO,0.937,0.560,,,,
,520,NO,0.938,0.524,,,,
,522,YES,1.000,0.993,,,,
,523,YES,1.000,0.990,,,,
,524,YES,1.000,0.984,,,,
,525,YES,1.000,0.984,,,,
,526,YES,1.000,0.995,,,,
,527,YES,1.000,0.992,,,,
,528,YES,1.000,0.988,,,,
,529,YES,1.000,0.994,,,,
,530,YES,1.000,0.994,,,,
,531,YES,0.999,0.987,,,,
,532,NO,0.911,0.509,,,,
,533,NO,0.920,0.367,,,,
,534,NO,0.922,0.566,,,,
,535,NO,0.905,0.439,,,,
,536,NO,0.904,0.378,,,,
,537,NO,0.906,0.470,,,,
,538,NO,0.927,0.526,,,,
,539,NO,0.904,0.344,,,,
,540,YES,0.905,0.929,,,,
,541,NO,0.918,0.519,,,,
,542,YES,0.995,0.970,,,,
,543,NO,0.908,0.427,,,,
,544,NO,0.904,0.247,,,,
,545,NO,0.903,0.533,,,,
,546,YES,0.985,0.907,,,,
,547,NO,0.911,0.512,,,,
,548,NO,0.907,0.448,,,,
,549,YES,0.983,0.921,,,,
,550,NO,0.920,0.564,,,,
,551,NO,0.914,0.483,,,,
,552,NO,0.904,0.440,,,,
,553,YES,0.979,0.911,,,,
,554,NO,0.908,0.399,,,,
,555,NO,0.905,0.407,,,,
,556,NO,0.907,0.438,,,,
,557,NO,0.909,0.543,,,,
,558,YES,0.985,0.916,,,,
,559,NO,0.903,0.584,,,,
,560,YES,0.997,0.951,,,,
,562,YES,1.000,0.944,,,,
,563,YES,1.000,0.960,,,,
,564,YES,0.999,0.932,,,,
,565,YES,0.999,0.949,,,,
,566,YES,0.999,0.942,,,,
,567,YES,0.999,0.929,,,,
,568,YES,0.999,0.931,,,,
,569,YES,0.999,0.897,,,,
,570,YES,0.999,0.958,,,,
,571,YES,0.994,0.896,,,,
,572,NO,0.916,0.460,,,,
,573,NO,0.909,0.564,,,,
,574,NO,0.910,0.517,,,,
,575,YES,0.914,0.253,,,,
,576,NO,0.912,0.439,,,,
,577,NO,0.913,0.368,,,,
,578,YES,0.994,0.884,,,,
,579,NO,0.914,0.530,,,,
,580,YES,0.991,0.900,,,,
,581,NO,0.912,0.505,,,,
,582,YES,0.912,0.835,,,,
,583,NO,0.916,0.246,,,,
,584,NO,0.914,0.502,,,,
,585,NO,0.909,0.517,,,,
,586,YES,0.984,0.893,,,,
,587,YES,0.987,0.881,,,,
,588,YES,0.995,0.881,,,,
,589,NO,0.910,0.376,,,,
,590,YES,0.988,0.877,,,,
,591,YES,0.909,0.836,,,,
,592,YES,0.914,0.502,,,,
,593,NO,0.912,0.496,,,,
,594,NO,0.910,0.547,,,,
,595,NO,0.920,0.504,,,,
,596,YES,0.979,0.828,,,,
,597,YES,0.976,0.828,,,,
,598,YES,0.908,0.531,,,,
,599,NO,0.915,0.583,,,,
,600,NO,0.918,0.431,,,,
,603,YES,1.000,0.986,,,,
,604,YES,1.000,0.987,,,,
,605,YES,1.000,0.983,,,,
,606,YES,1.000,0.988,,,,
,607,YES,1.000,0.991,,,,
,608,YES,1.000,0.977,,,,
,609,YES,1.000,0.986,,,,
,610,YES,1.000,0.987,,,,
,611,NO,0.901,0.531,,,,
,612,NO,0.912,0.350,,,,
,613,NO,0.929,0.443,,,,
,614,NO,0.921,0.384,,,,
,615,NO,0.905,0.383,,,,
,616,YES,0.999,0.986,,,,
,617,NO,0.904,0.430,,,,
,618,YES,1.000,0.983,,,,
,619,NO,0.909,0.473,,,,
,620,YES,0.979,0.863,,,,
,621,NO,0.913,0.335,,,,
,622,NO,0.902,0.310,,,,
,623,NO,0.906,0.448,,,,
,624,YES,0.983,0.857,,,,
,625,NO,0.905,0.276,,,,
,626,YES,1.000,0.991,,,,
,627,NO,0.901,0.425,,,,
,628,NO,0.906,0.412,,,,
,629,NO,0.901,0.350,,,,
,630,NO,0.915,0.324,,,,
,631,NO,0.902,0.444,,,,
,632,NO,0.908,0.411,,,,
,633,NO,0.907,0.465,,,,
,634,NO,0.905,0.464,,,,
,635,NO,0.904,0.269,,,,
,636,NO,0.903,0.238,,,,
,637,NO,0.905,0.377,,,,
,638,YES,0.999,0.982,,,,
,639,YES,0.911,0.852,,,,
,640,YES,0.997,0.978,,,,
,642,YES,1.000,0.979,,,,
,643,YES,1.000,0.989,,,,
,644,YES,1.000,0.982,,,,
,645,YES,1.000,0.984,,,,
,646,YES,1.000,0.983,,,,
,647,YES,1.000,0.979,,,,
,648,YES,1.000,0.992,,,,
,649,YES,1.000,0.982,,,,
,650,YES,1.000,0.984,,,,
,651,NO,0.915,0.368,,,,
,652,NO,0.907,0.385,,,,
,653,NO,0.909,0.234,,,,
,654,NO,0.902,0.511,,,,
,655,YES,0.994,0.940,,,,
,656,NO,0.906,0.468,,,,
,657,YES,0.996,0.943,,,,
,658,NO,0.903,0.327,,,,
,659,YES,1.000,0.983,,,,
,660,NO,0.907,0.432,,,,
,661,NO,0.902,0.392,,,,
,662,NO,0.903,0.324,,,,
,663,NO,0.905,0.451,,,,
,664,NO,0.918,0.512,,,,
,665,NO,0.902,0.404,,,,
,666,NO,0.903,0.418,,,,
,667,NO,0.906,0.355,,,,
,668,NO,0.904,0.513,,,,
,669,NO,0.905,0.466,,,,
,670,NO,0.906,0.408,,,,
,671,YES,0.995,0.881,,,,
,672,NO,0.912,0.297,,,,
,673,YES,0.983,0.903,,,,
,674,NO,0.926,0.215,,,,
,675,NO,0.904,0.263,,,,
,676,YES,0.995,0.970,,,,
,677,NO,0.913,0.349,,,,
,678,NO,0.903,0.431,,,,
,679,NO,0.905,0.463,,,,
,680,YES,0.998,0.967,,,,
,682,YES,1.000,0.994,,,,
,683,YES,1.000,0.991,,,,
,684,YES,1.000,0.981,,,,
,685,YES,1.000,0.991,,,,
,686,YES,1.000,0.989,,,,
,687,YES,1.000,0.979,,,,
,688,YES,1.000,0.993,,,,
,689,YES,1.000,0.991,,,,
,690,YES,1.000,0.990,,,,
,691,NO,0.942,0.443,,,,
,692,NO,0.949,0.273,,,,
,693,NO,0.943,0.442,,,,
,694,NO,0.942,0.471,,,,
,695,YES,0.996,0.970,,,,
,696,NO,0.940,0.547,,,,
,697,NO,0.940,0.400,,,,
,698,NO,0.939,0.321,,,,
,699,NO,0.941,0.617,,,,
,700,NO,0.941,0.081,,,,
,701,NO,0.945,0.578,,,,
,702,NO,0.942,0.408,,,,
,703,NO,0.955,0.584,,,,
,704,NO,0.940,0.470,,,,
,705,NO,0.942,0.660,,,,
,706,NO,0.942,0.380,,,,
,707,NO,0.939,0.456,,,,
,708,NO,0.945,0.627,,,,
,709,NO,0.943,0.446,,,,
,710,NO,0.944,0.447,,,,
,711,NO,0.940,0.540,,,,
,712,NO,0.955,0.539,,,,
,713,NO,0.939,0.277,,,,
,714,NO,0.947,0.587,,,,
,715,NO,0.957,0.578,,,,
,716,NO,0.941,0.485,,,,
,717,NO,0.947,0.339,,,,
,718,NO,0.940,0.567,,,,
,719,NO,0.958,0.518,,,,
,720,NO,0.947,0.587,,,,
,722,YES,1.000,0.988,,,,
,723,YES,1.000,0.990,,,,
,724,YES,1.000,0.985,,,,
,725,YES,1.000,0.995,,,,
,726,YES,1.000,0.978,,,,
,727,YES,1.000,0.966,,,,
,728,YES,1.000,0.994,,,,
,729,NO,1.000,0.994,,,,
,730,YES,1.000,0.991,,,,
,731,NO,0.927,0.452,,,,
,732,NO,0.905,0.441,,,,
,733,YES,0.983,0.922,,,,
,734,NO,0.903,0.377,,,,
,735,YES,0.982,0.937,,,,
,736,NO,0.910,0.521,,,,
,737,NO,0.904,0.441,,,,
,738,NO,0.902,0.429,,,,
,739,NO,0.911,0.452,,,,
,740,NO,0.915,0.448,,,,
,741,NO,0.914,0.509,,,,
,742,NO,0.903,0.393,,,,
,743,NO,0.904,0.350,,,,
,744,NO,0.921,0.337,,,,
,745,NO,0.903,0.406,,,,
,746,NO,0.904,0.477,,,,
,747,YES,0.914,0.922,,,,
,748,NO,0.904,0.431,,,,
,749,NO,0.915,0.486,,,,
,750,NO,0.906,0.420,,,,
,751,YES,0.998,0.988,,,,
,752,NO,0.907,0.544,,,,
,753,NO,0.910,0.581,,,,
,754,NO,0.903,0.336,,,,
,755,NO,0.903,0.459,,,,
,756,NO,0.914,0.519,,,,
,757,YES,0.988,0.954,,,,
,758,NO,0.917,0.500,,,,
,759,NO,0.905,0.493,,,,
,760,YES,0.981,0.948,,,,
,761,YES,1.000,1.000,,,,
,763,YES,1.000,0.993,,,,
,764,YES,0.999,0.977,,,,
,766,YES,0.999,0.977,,,,
,767,YES,0.999,0.968,,,,
,768,NO,0.999,0.989,,,,
,769,YES,0.999,0.982,,,,
,770,YES,0.999,0.993,,,,
,771,NO,0.942,0.377,,,,
,772,NO,0.941,0.221,,,,
,773,NO,0.945,0.631,,,,
,774,NO,0.941,0.414,,,,
,775,NO,0.944,0.472,,,,
,776,NO,0.944,0.551,,,,
,777,NO,0.941,0.702,,,,
,778,NO,0.941,0.571,,,,
,779,NO,0.953,0.684,,,,
,780,NO,0.943,0.603,,,,
,781,NO,0.939,0.711,,,,
,782,NO,0.942,0.435,,,,
,783,NO,0.942,0.509,,,,
,784,NO,0.941,0.359,,,,
,785,NO,0.944,0.427,,,,
,786,NO,0.946,0.524,,,,
,787,NO,0.965,0.518,,,,
,788,NO,0.941,0.178,,,,
,789,NO,0.941,0.314,,,,
,790,NO,0.947,0.482,,,,
,791,NO,0.944,0.549,,,,
,792,NO,0.943,0.533,,,,
,793,NO,0.942,0.467,,,,
,794,NO,0.943,0.462,,,,
,795,NO,0.944,0.408,,,,
,796,NO,0.940,0.284,,,,
,797,NO,0.942,0.544,,,,
,798,NO,0.946,0.537,,,,
,799,NO,0.947,0.552,,,,
,800,NO,0.943,0.634,,,,
,802,YES,1.000,0.994,,,,
,803,YES,1.000,0.993,,,,
,804,YES,1.000,0.990,,,,
,805,YES,1.000,0.987,,,,
,806,NO,1.000,0.995,,,,
,807,YES,1.000,0.972,,,,
,808,YES,1.000,0.989,,,,
,809,YES,1.000,0.989,,,,
,810,YES,1.000,0.994,,,,
,811,YES,1.000,0.991,,,,
,812,NO,0.909,0.464,,,,
,813,NO,0.905,0.504,,,,
,814,YES,0.923,0.916,,,,
